Artist,song_album,Title,song_release_date
Burgettii,Darkness Meets World,"Emma's Story, Pt. 2",2020-07-03
Burgettii,Darkness Meets World,Can't Luv Remix,2020-07-03
prxz,Love Wounds,Alone and Lonely,2017-10-21
prxz,Love Wounds,I'm Shy. I'm Anxious,2017-10-21
prxz,Love Wounds,Grips on Your Waist,2017-10-21
Shiloh Dynasty,Love Is the Same as Sadness,Your Love Makes Me Depressed,2018-05-14
Shiloh Dynasty,Love Is the Same as Sadness,Love Is the Same as Sadness,2018-05-14
Shiloh Dynasty,Love Is the Same as Sadness,"I Fall in Love, I'm Sorry",2018-05-14
Shiloh Dynasty,Love Is the Same as Sadness,Tried to Be Patient with You,2018-05-14
Shiloh Dynasty,Love Is the Same as Sadness,You Know That I Don't Play,2018-05-14
itssvd,tape for when i'm sad,i don't feel part of the world anymore,2019-05-17
Floreyyyy,Intimacy,Not Even Her (feat. Shiloh),2018-01-05
prxz,Love Wounds,Empty Hearts,2017-10-21
Swell,Theres Still Us,I'm Sorry,2016-01-19
keshi,over u,over u,2017-09-20
Sarcastic Sounds,I Don't Sleep,I Don't Sleep,2018-01-19
Monty Datta,Can't Love Myself,Can't Love Myself,2018-02-16
Nohidea,Esuna,falling down (feat. shiloh),2017-08-06
Timmies,Passion & Confusion,Loosing Interest,2017-09-21
sagun,I'm Drunk And Confused,I'm Drunk And Confused,2017-10-19
Kina,Baby You're Worth It,Baby You're Worth It,2018-06-13
Monty Datta,With Somebody Else,With Somebody Else,2018-08-31
XXXTENTACION,17,Carry On,2017-08-25
keshi,as long as it takes you,as long as it takes you,2017-11-07
Elijah Who,Gentle Boy,this girl,2017-09-29
j'san,"i'm in love with u, sorry","i'm in love with u, sorry",2017-10-02
Teqkoi,Please Come Back,Please Come Back,2018-03-20
Timmies,Passion & Confusion,Soft Skin,2017-09-21
Joji,In Tongues (Deluxe),Will He,2018-02-14
Masked Man,Drowning My Sorrows,Drowning My Sorrows,2017-08-29
Beowülf,Is It Too Late for Me,Is It Too Late for Me,2018-01-02
keshi,if you're not the one for me who is,if you're not the one for me who is,2017-10-23
Fresh,5-Trak,Too Much To Ask For,2018-11-16
Fresh,5-Trak,This Is For My Girl,2018-11-16
Fresh,5-Trak,I'm Loosing Interest,2018-11-16
cucu,I Don't Trust Nobody,I Don't Trust Nobody,2017-11-05
